lambda nm,L,M
460.4,6.58E-02,1.18E-01
460.5,6.60E-02,1.19E-01
460.6,6.63E-02,1.19E-01
460.7,6.66E-02,1.20E-01
460.8,6.68E-02,1.20E-01
460.9,6.71E-02,1.21E-01
461,6.74E-02,1.21E-01
461.1,6.77E-02,1.22E-01
461.2,6.80E-02,1.22E-01
461.3,6.83E-02,1.23E-01
461.4,6.86E-02,1.23E-01
461.5,6.89E-02,1.24E-01
461.6,6.92E-02,1.24E-01
461.7,6.95E-02,1.25E-01
461.8,6.98E-02,1.25E-01
461.9,7.01E-02,1.26E-01
462,7.04E-02,1.27E-01
462.1,7.07E-02,1.27E-01
462.2,7.10E-02,1.28E-01
462.3,7.14E-02,1.28E-01
462.4,7.17E-02,1.29E-01
462.5,7.20E-02,1.29E-01
462.6,7.23E-02,1.30E-01
462.7,7.27E-02,1.31E-01
462.8,7.30E-02,1.31E-01
462.9,7.33E-02,1.32E-01
463,7.36E-02,1.32E-01
463.1,7.40E-02,1.33E-01
463.2,7.43E-02,1.33E-01
463.3,7.47E-02,1.34E-01
463.4,7.50E-02,1.35E-01
463.5,7.54E-02,1.35E-01
463.6,7.57E-02,1.36E-01
463.7,7.60E-02,1.37E-01
463.8,7.64E-02,1.37E-01
463.9,7.67E-02,1.38E-01
464,7.71E-02,1.38E-01
464.1,7.75E-02,1.39E-01
464.2,7.78E-02,1.40E-01
464.3,7.82E-02,1.40E-01
464.4,7.85E-02,1.41E-01
464.5,7.89E-02,1.41E-01
464.6,7.92E-02,1.42E-01
464.7,7.96E-02,1.43E-01
464.8,8.00E-02,1.43E-01
464.9,8.03E-02,1.44E-01
465,8.07E-02,1.45E-01
465.1,8.11E-02,1.45E-01
465.2,8.14E-02,1.46E-01
465.3,8.18E-02,1.46E-01
465.4,8.22E-02,1.47E-01
465.5,8.25E-02,1.48E-01
465.6,8.29E-02,1.48E-01
465.7,8.33E-02,1.49E-01
465.8,8.36E-02,1.50E-01
465.9,8.40E-02,1.50E-01
466,8.44E-02,1.51E-01
466.1,8.47E-02,1.51E-01
466.2,8.51E-02,1.52E-01
466.3,8.55E-02,1.53E-01
466.4,8.58E-02,1.53E-01
466.5,8.62E-02,1.54E-01
466.6,8.66E-02,1.55E-01
466.7,8.70E-02,1.55E-01
466.8,8.73E-02,1.56E-01
466.9,8.77E-02,1.57E-01
467,8.81E-02,1.57E-01
467.1,8.85E-02,1.58E-01
467.2,8.88E-02,1.58E-01
467.3,8.92E-02,1.59E-01
467.4,8.96E-02,1.60E-01
467.5,9.00E-02,1.60E-01
467.6,9.03E-02,1.61E-01
467.7,9.07E-02,1.62E-01
467.8,9.11E-02,1.62E-01
467.9,9.15E-02,1.63E-01
468,9.19E-02,1.63E-01
468.1,9.22E-02,1.64E-01
